"app_id","app_name","space_name","stage","stage_at","target_app_id","loads_total","loads_retargeted","loads_not_in_map","loads_multi_source","loads_commented","loads_wildcard","pct_retargeted","tables_total","tables_unused","fields_unused_pct","vars_total","vars_unused","dims_unused","measures_unused","dead_code_lines","inapp_store_count","flag_geoanalytics","flag_inphinity","flag_rest","flag_unknown_src","flag_section_access","flag_nprint","blockers","readiness","map_check_findings","last_error","notes"
"7862b8ac-75fd-40a5-86b4-e91124882e67","05 - Grant Acquittals Report","","retargeted","2026-09-10 09:55:23","",20,20,0,0,0,0,100,26,2,29,15,8,4,4,4,0,0,0,0,0,0,0,"",100,"170","",""
"bd86831a-0695-41d8-a907-c3a3e413d845","05 - Grant Acquittals Report","","retargeted","2026-09-10 09:55:26","",20,18,1,1,1,0,90,25,2,31,8,6,4,4,4,0,0,0,0,2,0,0,"not-in-map:1;multi-source:1;unknown_src",60,"170","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","","retargeted","2026-09-10 09:55:41","",83,37,11,0,24,0,45,121,40,55,94,32,2,0,4,0,4,0,0,11,0,0,"not-in-map:11;geoanalytics;unknown_src",15,"170","",""
"8be957c3-5b4e-4798-8325-79e5cfb34916","GPS QVD Generator","","retargeted","2026-09-10 09:55:55","",41,2,0,0,44,0,5,38,0,0,0,0,0,0,4,39,0,0,0,0,0,0,"",5,"170","",""
"74acdc83-8527-41e2-a4a3-3fb35d0d7761","01 ESS QVD Builder - CDP","","blocked","2026-09-10 09:55:08","",0,0,0,0,0,0,0,34,0,0,30,5,0,0,4,3,0,0,1,1,0,0,"blocked;rest;unknown_src",0,"170","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 8 lib:// occurrences, report covers 7",""
"local:01-ess-qvd-builder-iep","01 ESS QVD Builder - IEP","","blocked","2026-09-10 09:55:10","",0,0,0,0,0,0,0,16,0,54,1,0,0,0,4,1,0,0,0,1,0,0,"blocked;unknown_src",0,"170","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 1 lib:// occurrences, report covers 0","id pending tenant match"
"9c423bf4-ead1-4539-bca9-a2c20d52b681","01 ESS QVD Builder - TWES","","blocked","2026-09-10 09:55:12","",0,0,0,0,0,0,0,33,0,0,30,5,0,0,4,3,0,0,0,1,0,0,"blocked;unknown_src",0,"170","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 2 lib:// occurrences, report covers 1",""
"local:01-qvd-generator-inphinity-forms","01 QVD Generator - Inphinity Forms","","retargeted","2026-09-10 09:55:14","",2,0,0,0,0,0,0,2,0,0,37,37,0,0,4,1,0,0,0,1,0,0,"unknown_src",0,"170","","id pending tenant match"
"local:01-qvds-ess-qvd-builder-subs","01 QVDs - ESS QVD Builder - Subs","","blocked","2026-09-10 09:55:16","",0,0,0,0,0,0,0,34,0,0,32,24,0,0,4,5,0,0,0,2,0,0,"blocked;unknown_src",0,"170","retarget exit 1: COVERAGE CHECK FAILED: independent scan found 2 lib:// occurrences, report covers 1","id pending tenant match"
"local:01s-ess-qvd-builder-iep","01s ESS QVD Builder - IEP","","retargeted","2026-09-10 09:55:18","",1,0,0,0,0,0,0,15,0,54,0,0,0,0,4,1,0,0,0,0,0,0,"",0,"170","","id pending tenant match"
"local:02-ess-qvd-builder-finalisation-cdp-iep","02 ESS QVD Builder Finalisation CDP & IEP","","retargeted","2026-09-10 09:55:20","",3,0,2,0,0,0,0,3,0,20,1,1,0,0,4,2,0,0,0,3,0,0,"not-in-map:2;unknown_src",0,"170","","id pending tenant match"
"local:02s-ess-qvd-builder-finalisation-snapshot","02s ESS QVD Builder Finalisation - Snapshot","","retargeted","2026-09-10 09:55:21","",1,0,1,0,0,0,0,2,0,0,1,1,0,0,4,1,0,0,0,2,0,0,"not-in-map:1;unknown_src",0,"170","","id pending tenant match"
"local:aurion-qvd-generator","AURION QVD Generator","","retargeted","2026-09-10 09:55:28","",2,0,0,0,1,0,0,2,0,0,3,3,0,0,4,2,0,0,0,0,0,0,"",0,"170","","id pending tenant match"
"b2fedbec-fdb7-4f73-9d97-c58f2dfe902e","AZURE QVD Generator","","retargeted","2026-09-10 09:55:29","",4,0,0,0,0,0,0,8,0,44,8,8,0,0,4,4,0,0,0,0,0,0,"",0,"170","",""
"local:bushel-qvd-builder","Bushel QVD Builder","","retargeted","2026-09-10 09:55:31","",2,0,0,0,0,0,0,2,0,0,36,36,0,0,4,1,0,0,0,1,0,0,"unknown_src",0,"170","","id pending tenant match"
"local:crm-qvd-generator","CRM QVD Generator","","retargeted","2026-09-10 09:55:43","",21,0,0,0,0,0,0,14,0,0,4,4,0,0,4,21,0,0,0,0,0,0,"",0,"170","","id pending tenant match"
"b8c2b008-894d-4850-a09c-ab34a12ee9d8","FUSION QVD Generator","","retargeted","2026-09-10 09:55:50","",4,0,0,0,2,0,0,150,3,0,45,44,0,0,4,4,0,0,0,1,0,0,"unknown_src",0,"170","",""
"8559461b-8aba-4ccf-8380-493b75348cdf","Geospatial QVD Generator","","retargeted","2026-09-10 09:55:52","",2,0,0,0,0,0,0,82,1,23,3,3,0,0,4,2,39,0,0,3,0,0,"geoanalytics;unknown_src",0,"170","",""
"local:grants-qvd-generator","Grants QVD Generator","","retargeted","2026-09-10 09:55:57","",6,0,0,0,2,0,0,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,"",0,"170","","id pending tenant match"
"local:iam-qvd-builder","IAM QVD Builder","","retargeted","2026-09-10 09:55:58","",4,0,0,0,0,0,0,4,0,0,36,33,0,0,4,2,0,0,0,2,0,0,"unknown_src",0,"170","","id pending tenant match"
"3007c7dc-e938-43c4-9b26-ea484985d45e","IPP QVD Generator","","retargeted","2026-09-10 09:56:00","",2,0,0,0,0,0,0,10,1,0,0,0,0,0,4,2,0,0,0,1,0,0,"unknown_src",0,"170","",""
